"OCCUPANCY_DATE","shelter_location_pair","unoccupied_sum","occupancy_rate"
2021-01-01,"40 - 1114",4,0.956521739130435
2021-01-01,"53 - 1103",2,0.95
2021-01-01,"2 - 1066",0,1
2021-01-01,"82 - 1163",86,0.385714285714286
2021-01-02,"40 - 1114",4,0.956521739130435
2021-01-02,"53 - 1103",2,0.948717948717949
2021-01-02,"2 - 1066",0,1
2021-01-02,"82 - 1163",89,0.364285714285714
2021-01-03,"40 - 1114",4,0.956989247311828
2021-01-03,"53 - 1103",2,0.948717948717949
2021-01-03,"2 - 1066",0,1
2021-01-03,"82 - 1163",88,0.371428571428571
2021-01-04,"40 - 1114",3,0.967391304347826
2021-01-04,"53 - 1103",2,0.947368421052632
2021-01-04,"2 - 1066",0,1
2021-01-04,"82 - 1163",91,0.35
2021-01-05,"40 - 1114",7,0.925531914893617
2021-01-05,"53 - 1103",0,1
2021-01-05,"2 - 1066",0,1
2021-01-05,"82 - 1163",88,0.375886524822695
2021-01-06,"40 - 1114",4,0.956521739130435
2021-01-06,"53 - 1103",0,1
2021-01-06,"2 - 1066",0,1
2021-01-06,"82 - 1163",70,0.50354609929078
2021-01-07,"40 - 1114",5,0.945652173913043
2021-01-07,"53 - 1103",0,1
2021-01-07,"2 - 1066",0,1
2021-01-07,"82 - 1163",67,0.528169014084507
2021-01-08,"40 - 1114",6,0.934065934065934
2021-01-08,"53 - 1103",0,1
2021-01-08,"2 - 1066",0,1
2021-01-08,"82 - 1163",57,0.598591549295775
2021-01-09,"40 - 1114",6,0.934065934065934
2021-01-09,"53 - 1103",2,0.947368421052632
2021-01-09,"2 - 1066",0,1
2021-01-09,"82 - 1163",56,0.608391608391608
2021-01-10,"40 - 1114",6,0.934065934065934
2021-01-10,"53 - 1103",0,1
2021-01-10,"2 - 1066",0,1
2021-01-10,"82 - 1163",58,0.594405594405594
2021-01-11,"40 - 1114",5,0.943181818181818
2021-01-11,"53 - 1103",0,1
2021-01-11,"2 - 1066",0,1
2021-01-11,"82 - 1163",56,0.608391608391608
2021-01-12,"40 - 1114",5,0.943181818181818
2021-01-12,"53 - 1103",0,1
2021-01-12,"2 - 1066",0,1
2021-01-12,"82 - 1163",54,0.625
2021-01-13,"40 - 1114",4,0.954545454545455
2021-01-13,"53 - 1103",0,1
2021-01-13,"2 - 1066",0,1
2021-01-13,"82 - 1163",52,0.646258503401361
2021-01-14,"40 - 1114",0,1
2021-01-14,"53 - 1103",0,1
2021-01-14,"2 - 1066",0,1
2021-01-14,"82 - 1163",55,0.625850340136054
2021-01-15,"40 - 1114",1,0.988095238095238
2021-01-15,"53 - 1103",0,1
2021-01-15,"2 - 1066",0,1
2021-01-15,"82 - 1163",46,0.687074829931973
2021-01-16,"40 - 1114",2,0.976190476190476
2021-01-16,"53 - 1103",0,1
2021-01-16,"2 - 1066",0,1
2021-01-16,"82 - 1163",67,0.54421768707483
2021-01-17,"40 - 1114",5,0.943181818181818
2021-01-17,"53 - 1103",0,1
2021-01-17,"2 - 1066",0,1
2021-01-17,"82 - 1163",70,0.523809523809524
2021-01-18,"40 - 1114",6,0.931818181818182
2021-01-18,"53 - 1103",0,1
2021-01-18,"2 - 1066",0,1
2021-01-18,"82 - 1163",69,0.530612244897959
2021-01-19,"40 - 1114",4,0.952380952380952
2021-01-19,"53 - 1103",0,1
2021-01-19,"2 - 1066",0,1
2021-01-19,"82 - 1163",48,0.675675675675676
2021-01-20,"40 - 1114",0,1
2021-01-20,"53 - 1103",0,1
2021-01-20,"2 - 1066",0,1
2021-01-20,"82 - 1163",46,0.689189189189189
2021-01-21,"40 - 1114",0,1
2021-01-21,"53 - 1103",0,1
2021-01-21,"2 - 1066",0,1
2021-01-21,"82 - 1163",53,0.641891891891892
2021-01-22,"40 - 1114",0,1
2021-01-22,"53 - 1103",2,0.954545454545455
2021-01-22,"2 - 1066",0,1
2021-01-22,"82 - 1163",52,0.651006711409396
2021-01-23,"40 - 1114",1,0.987341772151899
2021-01-23,"53 - 1103",2,0.954545454545455
2021-01-23,"2 - 1066",0,1
2021-01-23,"82 - 1163",61,0.590604026845638
2021-01-24,"40 - 1114",1,0.987341772151899
2021-01-24,"53 - 1103",2,0.954545454545455
2021-01-24,"2 - 1066",0,1
2021-01-24,"82 - 1163",58,0.610738255033557
2021-01-25,"40 - 1114",1,0.987654320987654
2021-01-25,"53 - 1103",1,0.977777777777778
2021-01-25,"2 - 1066",0,1
2021-01-25,"82 - 1163",67,0.550335570469799
2021-01-26,"40 - 1114",1,0.9875
2021-01-26,"53 - 1103",3,0.931818181818182
2021-01-26,"2 - 1066",0,1
2021-01-26,"82 - 1163",68,0.543624161073825
2021-01-27,"40 - 1114",1,0.9875
2021-01-27,"53 - 1103",1,0.973684210526316
2021-01-27,"2 - 1066",0,1
2021-01-27,"82 - 1163",66,0.557046979865772
2021-01-28,"40 - 1114",0,1
2021-01-28,"53 - 1103",5,0.875
2021-01-28,"2 - 1066",0,1
2021-01-28,"82 - 1163",57,0.61744966442953
2021-01-29,"40 - 1114",1,0.987341772151899
2021-01-29,"53 - 1103",2,0.947368421052632
2021-01-29,"2 - 1066",0,1
2021-01-29,"82 - 1163",71,0.523489932885906
2021-01-30,"40 - 1114",0,1
2021-01-30,"53 - 1103",0,1
2021-01-30,"2 - 1066",0,1
2021-01-30,"82 - 1163",72,0.516778523489933
2021-01-31,"40 - 1114",1,0.987179487179487
2021-01-31,"53 - 1103",0,1
2021-01-31,"2 - 1066",0,1
2021-01-31,"82 - 1163",78,0.476510067114094
2021-02-01,"40 - 1114",1,0.986842105263158
2021-02-01,"53 - 1103",0,1
2021-02-01,"2 - 1066",0,1
2021-02-01,"82 - 1163",81,0.456375838926175
2021-02-02,"40 - 1114",2,0.973684210526316
2021-02-02,"53 - 1103",0,1
2021-02-02,"2 - 1066",0,1
2021-02-02,"82 - 1163",72,0.516778523489933
2021-02-03,"40 - 1114",0,1
2021-02-03,"53 - 1103",2,0.954545454545455
2021-02-03,"2 - 1066",0,1
2021-02-03,"82 - 1163",72,0.516778523489933
2021-02-04,"40 - 1114",0,1
2021-02-04,"53 - 1103",0,1
2021-02-04,"2 - 1066",0,1
2021-02-04,"82 - 1163",67,0.550335570469799
2021-02-05,"40 - 1114",4,0.950617283950617
2021-02-05,"53 - 1103",3,0.934782608695652
2021-02-05,"2 - 1066",0,1
2021-02-05,"82 - 1163",63,0.577181208053691
2021-02-06,"40 - 1114",5,0.938271604938272
2021-02-06,"53 - 1103",1,0.979591836734694
2021-02-06,"2 - 1066",0,1
2021-02-06,"82 - 1163",66,0.557046979865772
2021-02-07,"40 - 1114",4,0.950617283950617
2021-02-07,"53 - 1103",1,0.980392156862745
2021-02-07,"2 - 1066",0,1
2021-02-07,"82 - 1163",71,0.523489932885906
2021-02-08,"40 - 1114",2,0.976744186046512
2021-02-08,"53 - 1103",1,0.981132075471698
2021-02-08,"2 - 1066",0,1
2021-02-08,"82 - 1163",72,0.516778523489933
2021-02-09,"40 - 1114",5,0.946236559139785
2021-02-09,"53 - 1103",1,0.982142857142857
2021-02-09,"2 - 1066",0,1
2021-02-09,"82 - 1163",61,0.590604026845638
2021-02-10,"40 - 1114",2,0.979166666666667
2021-02-10,"53 - 1103",1,0.982758620689655
2021-02-10,"2 - 1066",0,1
2021-02-10,"82 - 1163",63,0.577181208053691
2021-02-11,"40 - 1114",0,1
2021-02-11,"53 - 1103",1,0.982142857142857
2021-02-11,"2 - 1066",0,1
2021-02-11,"82 - 1163",57,0.61744966442953
2021-02-12,"40 - 1114",2,0.98019801980198
2021-02-12,"53 - 1103",1,0.983333333333333
2021-02-12,"2 - 1066",0,1
2021-02-12,"82 - 1163",68,0.543624161073825
2021-02-13,"40 - 1114",5,0.950980392156863
2021-02-13,"53 - 1103",1,0.983333333333333
2021-02-13,"2 - 1066",0,1
2021-02-13,"82 - 1163",77,0.483221476510067
2021-02-14,"40 - 1114",5,0.950980392156863
2021-02-14,"53 - 1103",1,0.982456140350877
2021-02-14,"2 - 1066",0,1
2021-02-14,"82 - 1163",76,0.48993288590604
2021-02-15,"40 - 1114",5,0.950980392156863
2021-02-15,"53 - 1103",1,0.983333333333333
2021-02-15,"2 - 1066",0,1
2021-02-15,"82 - 1163",78,0.476510067114094
2021-02-16,"40 - 1114",1,0.98989898989899
2021-02-16,"53 - 1103",1,0.983333333333333
2021-02-16,"2 - 1066",0,1
2021-02-16,"82 - 1163",75,0.496644295302013
2021-02-17,"40 - 1114",2,0.98
2021-02-17,"53 - 1103",0,1
2021-02-17,"2 - 1066",0,1
2021-02-17,"82 - 1163",66,0.557046979865772
2021-02-18,"40 - 1114",0,1
2021-02-18,"53 - 1103",0,1
2021-02-18,"2 - 1066",0,1
2021-02-18,"82 - 1163",54,0.63758389261745
2021-02-19,"40 - 1114",1,0.989690721649485
2021-02-19,"53 - 1103",0,1
2021-02-19,"2 - 1066",0,1
2021-02-19,"82 - 1163",32,0.785234899328859
2021-02-20,"40 - 1114",1,0.989795918367347
2021-02-20,"53 - 1103",0,1
2021-02-20,"2 - 1066",0,1
2021-02-20,"82 - 1163",36,0.758389261744966
2021-02-21,"40 - 1114",0,1
2021-02-21,"53 - 1103",0,1
2021-02-21,"2 - 1066",0,1
2021-02-21,"82 - 1163",40,0.733333333333333
2021-02-22,"40 - 1114",2,0.98
2021-02-22,"53 - 1103",0,1
2021-02-22,"2 - 1066",0,1
